cell_type,replicate,bin,wd1,wd2,psi,p1,n1,p2,n2
c1,1,1,0.4730889068418204,0.5269110931581796,0.9750885818372765,0.0017001592804704512,0.6752251118148987,0.005971805400767516,5.134402318408643
c1,1,2,0.4113949654265759,0.5886050345734242,0.9815771678317946,0.003530130107975269,0.6473022150019593,0.008774457388014969,5.060857473250147
c1,1,3,0.25249847910313783,0.7475015208968622,0.9907569798482706,0.028530563787771586,0.784640086987297,0.0037940432790070644,2.3612855179773544
c1,1,4,0.10129928711823794,0.898700712881762,0.9750729788254967,0.17493314137317081,1.8647392389135207,0.0023334784644397973,1.3770987344554222
c1,2,1,0.24328327818001233,0.7567167218199877,0.9776833050271374,0.006867676816232536,0.6570154137431219,0.005048088849125936,2.947023964762938
c1,2,2,0.4093441501326866,0.5906558498673133,0.9791155889737618,0.0018388077328713144,0.6702067192938816,0.0044806592882447,5.2064439223890435
c1,2,3,0.44256471274616105,0.557435287253839,0.9782012279780189,0.0022972743678599016,0.6374555533667325,0.006236121959712029,5.605685143221444
c1,2,4,0.4455886963344326,0.5544113036655676,0.9722906026274989,0.003400264246649185,0.5941834506337247,0.008009940804559312,4.691931997791752
c17,1,1,0.294075809106883,0.705924190893117,0.9999683068950564,0.001029997428560531,0.34444304551596305,0.0020787694808758537,2.628332583741459
c17,1,2,0.39013268443975513,0.6098673155602449,0.9744879982487659,0.0011662986844059031,0.5490396104277626,0.0026926822588430586,4.322797650598268
c17,1,3,0.4334861274325267,0.5665138725674734,0.9680415283573357,0.0009433113571532277,0.6338000258910342,0.0026662838012725992,5.799292551508964
c17,1,4,0.45098615034395934,0.5490138496560406,0.968388978422548,0.0008581447384014805,0.5337084350097597,0.002006589582883023,4.109787788735818
c17,2,1,0.3323959891425808,0.6676040108574194,0.969200792991932,0.0002999616366166735,0.5126701763737607,0.0006961840285302784,3.103331988907154
c17,2,2,0.05189318986259954,0.9481068101374004,0.9999773312554514,0.14994202620160074,0.23842853650745607,0.00015181930390578374,1.2598453841046429
c17,2,3,0.3732387634775504,0.6267612365224495,0.9999748481635364,0.0005494230365561104,0.37622884098044607,0.0015756947263827696,4.289762583375875
c17,2,4,0.44272189961844044,0.5572781003815597,0.9774193714292329,0.0006882479772690115,0.5057551166567986,0.0016341111511516614,4.092577310573879
c2,1,1,0.396243898526169,0.6037561014738311,0.9859988524188537,0.004383598035902428,0.5359637822877068,0.01137668867591238,3.7009327379216783
c2,1,2,0.42086913696346145,0.5791308630365386,0.9846020563372614,0.004542653882655727,0.6470342352773282,0.011960154160050224,5.4926707599006015
c2,1,3,0.4344391017522696,0.5655608982477304,0.9893182734388806,0.003680421501249499,0.6248604378987039,0.010294677287187302,5.776865767296186
c2,1,4,0.4342242428743966,0.5657757571256035,0.9941427313976158,0.003376398057253843,0.5938312590413768,0.009627228648505966,5.788038448672431
c2,2,1,0.5082607329379359,0.491739267062064,0.9813406323469146,0.003552959496848783,0.6004105067044199,0.015155192479194902,5.04584065947131
c2,2,2,0.4252812486086049,0.574718751391395,0.9858702532271413,0.00510353563090009,0.6376765378817226,0.01338026278686012,5.441188540467215
c2,2,3,0.09246345099482516,0.9075365490051748,0.9933404464893201,0.14719751162140576,1.2586515891416383,0.003226252848281264,1.4634592880127668
c2,2,4,0.17529685722952737,0.8247031427704726,0.9764420186894746,0.0711291243999959,1.4826615192770884,0.0033552226204866292,2.0509074487088412
c4,1,1,0.40493191441726184,0.5950680855827383,0.9646806005902663,0.0011205017626789663,0.5334866978706031,0.0033510707117854247,3.379300571514441
c4,1,2,0.4223125203211609,0.5776874796788392,0.9605013532791596,0.0018767436277996054,0.622025470164684,0.004803905951577284,4.4736029211385855
c4,1,3,0.42889634733343346,0.5711036526665666,0.9597821255529629,0.002097505661346498,0.6058155391836841,0.004848713113605459,4.328050445451753
c4,1,4,0.43491922398624344,0.5650807760137565,0.9599781986258812,0.0018999467222528682,0.5649841499878292,0.004061100705365948,3.759820608288313
c4,2,1,0.41834437415654513,0.5816556258434548,0.9598770156397053,0.001466857807071553,0.550760780811678,0.004374405721101703,3.302652414489362
c4,2,2,0.41714064437430126,0.5828593556256987,0.9581427613704455,0.0017497781013141498,0.6226260596785218,0.004338392736987521,4.357273332882803
c4,2,3,0.42064692592080477,0.5793530740791952,0.9586788718423673,0.0018465054189014665,0.6125624941546319,0.004302587265798116,4.368353987272235
c4,2,4,0.4363509740102513,0.5636490259897486,0.9579040118512607,0.0016225754438562335,0.5675759905977892,0.0034244898753907384,3.7047682612960813
c6,1,1,0.3922957651421467,0.6077042348578533,0.9764544646835408,0.0005690803647329865,0.6302074666027075,0.0015310063011725022,4.029585455188969
c6,1,2,0.4013609394945062,0.5986390605054938,0.976021442702484,0.0014379049457622485,0.6440185047979741,0.003916904622773493,5.624606548254043
c6,1,3,0.4382381151329018,0.5617618848670982,0.9758101114878689,0.0010956758370038679,0.6101596112361245,0.0030815262291532157,5.67832464656272
c6,1,4,0.455041905189247,0.5449580948107531,0.9722163557757534,0.0013050135822120382,0.5693311607231684,0.0030709585129351158,4.441387182569712
c6,2,1,0.3868212945819003,0.6131787054180997,0.9836780567472014,0.0011923047901109367,0.6326889174306066,0.0029686888146403527,4.3267421105465225
c6,2,2,0.38065984087021376,0.6193401591297861,0.9999897828275223,0.0009813737084251734,0.47923641396029204,0.002949468678766664,5.162974926754522
c6,2,3,0.4324665039341663,0.5675334960658336,0.9766183873135791,0.0008024563893166109,0.5714846024835789,0.0022859498972492335,5.344837608246259
c6,2,4,0.07214987023756883,0.9278501297624311,0.9958631912853958,0.04538771979833638,0.21976671684522817,0.0004932278024399764,1.1871744841776921
