exp_type,replicate,bin,wd1,wd2,psi,p1,n1,p2,n2
RNA,1,1,0.010243409917451207,0.9897565900825487,0.9937377083666371,0.8038970622170482,9.991562739951409,0.00407760275689187,1.3517008924350848
RNA,1,2,0.03217167712500627,0.9678283228749937,0.9979617515304677,0.046885931207625846,0.7450535397970146,0.005425241012227039,1.6581124239464697
RNA,1,3,0.10878445073018106,0.8912155492698188,0.9938111467450054,0.02675470040027005,0.8652481390036239,0.005408570165711355,1.9458918455817913
RNA,1,4,0.12366832225017334,0.8763316777498266,0.9945716444177419,0.01863165161269311,1.013498223907031,0.005865940908769254,2.603409330631432
RNA,1,5,0.1758882605309238,0.8241117394690761,0.9963787429412605,0.008726785089109566,0.7659000390434073,0.005041633867712679,2.759481981330673
RNA,1,6,0.1532921976397569,0.8467078023602431,0.9955429499431004,0.010896259331578362,0.7389951276291777,0.005597214594412296,2.5185694444967903
RNA,1,7,0.07854122081392861,0.9214587791860714,0.9964754852450626,0.030208921426467285,0.9446556796137867,0.011003944443844348,2.623749796443468
RNA,1,8,0.007309832551058876,0.9926901674489411,0.9961629132123245,0.8295692229930448,9.994679472582728,0.010917305588228485,1.6759212980981526
RNA,2,1,0.007175556039062549,0.9928244439609374,0.9957091607608751,0.816553160487768,9.997144137086975,0.00467606551874383,1.3722148311569589
RNA,2,2,0.051618142669438004,0.948381857330562,0.9968483348492663,0.042228236818149405,0.8329470003386081,0.005841774573528872,1.7886525431929134
RNA,2,3,0.18428438018843338,0.8157156198115666,0.9971893535955829,0.011495140234773181,0.7522961931235452,0.006565454927290896,2.7580528908869377
RNA,2,4,0.12341739347843725,0.8765826065215627,0.9966773007510601,0.01901873540548798,0.872622542748752,0.005394325401139751,2.362577904048969
RNA,2,5,0.038793249280259436,0.9612067507197405,0.9968310252340253,0.04990080021098406,0.9285613727340871,0.006911008238778422,2.021997703870639
RNA,2,6,0.3165469291281822,0.6834530708718177,0.996515124628205,0.002760120118118118,0.7730596831062554,0.006156878469549729,3.0325023855809876
RNA,2,7,0.07776537190866062,0.9222346280913394,0.999218696543963,0.021710202173466503,0.7915559095503234,0.008716749997970683,2.4531124643069218
RNA,2,8,0.007386400028554407,0.9926135999714456,0.9999999999999998,0.8877954079022775,7.6797857074718685,0.014055895489047118,1.6306512464336334
